LegendeCode,Nomenclature,R,G,B,C,M,Y,K
11100,Continuous Urban Fabric (S.L. > 80%),140,0,0,45,100,100,0
11210,Discontinuous Dense Urban Fabric (S.L. : 50% -  80%),209,0,0,18,100,100,0
11220,Discontinuous Medium Density Urban Fabric (S.L. : 30% - 50%),255,0,0,0,100,100,0
11230,Discontinuous Low Density Urban Fabric (S.L. : 10% - 30%),255,128,128,0,50,50,0
11240,Discontinuous Very Low Density Urban Fabric (S.L. < 10%),255,191,191,0,25,25,0
11300,Isolated Structures,204,102,102,20,60,60,0
12100,"Industrial, commercial, public, military and private units",201,78,241,21,69,5,0
12210,Fast transit roads and associated land,255,85,0,0,67,100,0
12220,Other roads and associated land,255,166,128,0,35,50,0
12230,Railways and associated land,102,102,102,0,0,0,60
12300,Port areas,229,189,254,10,26,0,0
12400,Airports,229,204,230,10,20,10,0
13100,Mineral extraction and dump sites,135,89,68,47,65,73,0
13300,Construction sites,204,168,102,20,34,60,0
13400,Land without current use,135,68,68,47,73,73,0
14100,Green urban areas,153,230,0,40,10,100,0
14200,Sports and leisure facilities,211,255,115,17,0,55,0
20000,Agricultural + Semi-natural areas + Wetlands,254,255,168,0,0,34,0
30000,Forests,0,128,0,100,50,100,0
40000,Wetlands,166,167,255,35,35,0,0
50000,Water bodies,0,204,240,100,20,6,0
